1;1;001-003-005-000;Estructura metalica
1;1;001-003-004-000;Unidad hidrauilica
1;1;001-003-003-000;Conjunto prensa
1;4;001-003-002-000;Conjunto actuador
1;1;001-003-001-000;Conjunto bandeja
Item;Cantidad;Modelo;Descripcion
Item;Cantidad;Modelo;Descripcion
