7;1;001-001-007-000;Conjunto motriz de desplazamiento vertical
6;1;001-001-006-000;Conjunto de curvado
5;2;001-001-005-000;Conjunto de trefilado
4;1;001-001-004-000;Conjunto guillotina
3;1;001-001-003-000;Conjunto de tracción
2;1;001-001-002-000;Estructura metálica
1;1;001-001-001-000;Conjunto desplazamiento vertical
Item;Cantidad;Modelo;Descripción
Item;Cantidad;Modelo;Descripción
