"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"90-04072023-028870";"";
"REFERENCE";"BF15";"";
"TraceParts.PartTitle";"Ball screw support seat BF15";"";
"TraceParts.InstanceId";"90-04072023-0288702N3XX9WWY2MK673V115V3T3RA";"";
"SUPPLIER";"Heda Technology";"";
"DESIGN";"Ball screw support seat BF15";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.0";"";
